strategy_name,total_patients_processed,mean_wait_time_minutes,max_wait_time_minutes,nurse_utilization_percent,machine_utilization_percent,avg_session_time_minutes,sessions_truncated_count,failed_patients_count
FIFO,16,27.625,61.0,0.4444444444444444,0.6190277777777777,231.1875,6,0
FIXED,16,49.5,111.0,0.2777777777777778,0.3859722222222222,223.2,6,6
FIFO,17,1.8823529411764706,11.0,0.2361111111111111,0.6176388888888888,239.88235294117646,1,0
FIXED,17,57.294117647058826,114.0,0.2361111111111111,0.6673611111111111,220.41176470588235,10,0
FIFO,17,34.6,72.0,0.4166666666666667,0.5925,229.8,6,2
FIXED,17,59.63636363636363,118.0,0.3055555555555556,0.4434722222222222,223.0909090909091,6,6
FIFO,17,36.8125,71.0,0.4444444444444444,0.6319444444444444,230.625,6,1
FIXED,17,70.66666666666667,148.0,0.25,0.3726388888888889,219.66666666666666,6,8
FIFO,17,3.6470588235294117,20.0,0.2361111111111111,0.6181944444444445,238.1764705882353,3,0
FIXED,17,42.411764705882355,89.0,0.2361111111111111,0.6481944444444444,222.2941176470588,11,0
FIFO,17,11.588235294117647,32.0,0.3148148148148148,0.6650584795321638,236.76470588235293,4,0
FIXED,17,56.266666666666666,137.0,0.2777777777777778,0.6374269005847953,222.6,9,2
FIFO,16,13.1875,33.0,0.2962962962962963,0.5944444444444444,239.5625,1,0
FIXED,16,53.9375,111.0,0.2962962962962963,0.6320833333333333,228.9375,7,0
FIFO,18,3.2222222222222223,13.0,0.25,0.6568055555555555,240.0,0,0
FIXED,18,60.4375,121.0,0.2222222222222222,0.6365277777777778,222.375,12,2
FIFO,16,33.46666666666667,72.0,0.4166666666666667,0.5879166666666666,229.8,6,1
FIXED,16,48.0,134.0,0.3055555555555556,0.4386111111111111,224.45454545454547,6,5
FIFO,16,13.75,22.0,0.2962962962962963,0.5975,239.0625,2,0
FIXED,16,71.35714285714286,128.0,0.25925925925925924,0.5529166666666666,219.64285714285714,9,2
FIFO,16,33.0,60.0,0.4444444444444444,0.6191666666666666,229.125,6,0
FIXED,16,56.45454545454545,133.0,0.3055555555555556,0.4325,222.54545454545453,6,5
FIFO,18,30.6875,69.0,0.4444444444444444,0.6201388888888889,228.375,6,2
FIXED,18,45.0,109.0,0.3611111111111111,0.5023611111111111,224.30769230769232,6,5
FIFO,16,10.8125,31.0,0.2962962962962963,0.5973611111111111,238.25,2,0
FIXED,16,55.666666666666664,105.0,0.2777777777777778,0.5872222222222222,221.4,9,1
FIFO,16,3.75,19.0,0.2222222222222222,0.5858333333333333,239.875,1,0
FIXED,16,35.3125,84.0,0.2222222222222222,0.6098611111111111,232.625,6,0
FIFO,16,0.375,6.0,0.2222222222222222,0.5781944444444445,239.8125,1,0
FIXED,16,30.4375,77.0,0.2222222222222222,0.6013888888888889,234.3125,6,0
FIFO,17,2.6470588235294117,11.0,0.2361111111111111,0.62,240.0,0,0
FIXED,17,60.0,125.0,0.2361111111111111,0.6786111111111112,224.76470588235293,10,0
FIFO,17,30.375,69.0,0.4444444444444444,0.6467836257309941,226.125,6,1
FIXED,17,37.72727272727273,120.0,0.3055555555555556,0.45146198830409356,224.45454545454547,6,6
FIFO,16,11.0625,27.0,0.2962962962962963,0.5968055555555556,239.6875,1,0
FIXED,16,64.0,116.0,0.2962962962962963,0.6501388888888889,223.125,9,0
FIFO,18,6.055555555555555,20.0,0.25,0.66,240.0,0,0
FIXED,18,63.333333333333336,128.0,0.25,0.7230555555555556,225.0,11,0
FIFO,16,9.875,32.0,0.2962962962962963,0.6226608187134502,236.3125,4,0
FIXED,16,39.266666666666666,129.0,0.2777777777777778,0.6149122807017544,225.73333333333332,7,1
FIFO,17,9.352941176470589,28.0,0.2361111111111111,0.61875,240.0,0,0
FIXED,17,73.76470588235294,131.0,0.2361111111111111,0.6877777777777778,218.2941176470588,12,0
FIFO,18,35.9375,62.0,0.4444444444444444,0.6542397660818714,228.9375,6,2
FIXED,18,53.6,106.0,0.2777777777777778,0.4093567251461988,220.8,6,8
FIFO,17,1.8823529411764706,9.0,0.2361111111111111,0.6183333333333333,240.0,0,0
FIXED,17,57.294117647058826,116.0,0.2361111111111111,0.68625,222.76470588235293,11,0
FIFO,18,4.555555555555555,14.0,0.25,0.6613888888888889,240.0,0,0
FIXED,18,55.22222222222222,137.0,0.25,0.7222222222222222,226.22222222222223,11,0
FIFO,17,18.823529411764707,40.0,0.3148148148148148,0.6523611111111111,237.64705882352942,3,0
FIXED,17,55.266666666666666,125.0,0.2777777777777778,0.6163888888888889,226.6,9,2
FIFO,16,30.4375,54.0,0.4444444444444444,0.6240277777777777,230.4375,6,0
FIXED,16,58.0,111.0,0.25,0.37,218.33333333333334,6,7
FIFO,16,18.0625,49.0,0.2962962962962963,0.6026388888888888,233.125,5,0
